Name,Sample,Time,Drought,Period,Succession,ChlA1,ChlA2,ChlA3,BA1,BA2,BA3,Depth
Sentinel_1_S1_1.fq.gz.Trimmed.Mean,S1,1,Before,,5,0.065539944,0.055662167,0.037776333,2104473.304,2014285.714,1251298.701,17872628
Sentinel_2_S2_1.fq.gz.Trimmed.Mean,S2,2,Before,,10,0.17952,0.10216,0.18492,9396753.247,5901362.835,4662417.829,22364439
Sentinel_3_S3_1.fq.gz.Trimmed.Mean,S3,3,Before,,14,0.247961333,0.251877167,0.176700222,10662987.01,11837734.49,13348917.75,19788741
Sentinel_4_S4_1.fq.gz.Trimmed.Mean,S4,4,Before,1,19,0.672882167,0.595341611,0.376936889,11507142.86,10457431.46,13605844.16,19929781
Sentinel_5_S5_1.fq.gz.Trimmed.Mean,S5,5,After1,1,24,0.693308,0.928646056,0.8587255,20031024.53,15167099.57,17265221.66,15807219
Sentinel_6_S6_1.fq.gz.Trimmed.Mean,S6,6,After1,,26,0.9660405,0.663039667,0.747812167,15756204.91,15254545.45,20395165.95,21535381
Sentinel_7_S7_1.fq.gz.Trimmed.Mean,S7,7,After1,,28,0.959161333,0.936724667,1.077271333,14714277.7,16248603.09,13910371.57,24116262
Sentinel_8_S8_1.fq.gz.Trimmed.Mean,S8,8,After1,2,33,1.041041056,0.712111056,0.731831333,23779653.68,11318686.87,19724603.17,19530878
Sentinel_9_S9_1.fq.gz.Trimmed.Mean,S9,9,After2,2,38,0.696094944,0.5551955,0.354147444,11652813.85,14198845.6,9613564.214,22759355
Sentinel_10_S10_1.fq.gz.Trimmed.Mean,S10,10,After2,,40,0.490319667,0.5450355,0.205980778,13299494.95,13520202.02,11047258.3,28780035
Sentinel_11_S11_1.fq.gz.Trimmed.Mean,S11,11,After2,,42,0.459592722,0.246056333,0.140011333,27751515.15,19775649.35,17794660.89,16968763
Sentinel_12_S12_1.fq.gz.Trimmed.Mean,S12,12,After2,,47,0.504042722,0.359298,3.288376611,22287445.89,28714502.16,29181818.18,19839291
Sentinel_13_S13_1.fq.gz.Trimmed.Mean,S13,13,After2,,54,0.493212444,0.625398278,0.399126611,40195598.85,38473593.07,29410606.06,18841988
Sentinel_14_S14_1.fq.gz.Trimmed.Mean,S14,14,Before3,,61,0.930092444,0.648011333,0.6256805,46621861.47,41546536.8,21208766.23,19953755
Sentinel_15_S15_1.fq.gz.Trimmed.Mean,S15,15,Before3,,67,1.043722167,1.180141333,1.332153278,45780591.63,34485353.54,25657034.63,17139494
Sentinel_16_S16_1.fq.gz.Trimmed.Mean,S16,16,Before3,,75,0.767814667,0.764604389,1.664434667,52902673.56,25818578.64,57289434.02,23363081
Sentinel_17_S17_1.fq.gz.Trimmed.Mean,S17,17,Before3,3,82,0.912912167,0.645823547,0.811128722,32200144.3,24012337.66,31059523.81,20370742
Sentinel_18_S18_1.fq.gz.Trimmed.Mean,S18,18,After3,3,87,0.895590778,1.610389111,0.987136611,27957431.46,35900216.45,38122655.12,18006121
Sentinel_19_S19_1.fq.gz.Trimmed.Mean,S19,19,After3,,89,1.452238833,0.9215905,1.117699667,46789466.09,47898412.7,29927633.48,17305707
Sentinel_20_S20_1.fq.gz.Trimmed.Mean,S20,20,After3,,91,0.957820778,1.484659111,0.861406611,50089249.64,58815367.97,25223160.17,21017911
Sentinel_21_S21_1.fq.gz.Trimmed.Mean,S21,21,After3,,96,0.720648278,0.730878833,1.093216889,52903318.9,53156421.36,23108802.31,20627062
Sentinel_22_S22_1.fq.gz.Trimmed.Mean,S22,22,After3,,103,0.647199944,0.843026889,0.788663833,48034920.63,50037012.99,40952380.95,20470741